Student_ID,Education,Skills,Interests,Strengths,Career_Recommendation,Next_Career
IT1051,Associate Degree in IT,OOP; C++; SQL; JavaScript; Linux,Web; Coding,Fast Learner; Logical Thinking,Software Developer,Backend Developer
IT1052,Bachelor's in Electronics,RTOS; Arduino; MATLAB,Robotics; Electronics,Analytical Thinking; Problem Solving; Logical Thinking,Embedded Systems Engineer,IoT Developer
IT1053,Associate Degree in IT,C#; C++; Unreal Engine; OOP; MATLAB,Games,Creativity; Persistence; Attention to Detail,Game Developer,AR/VR Developer
IT1054,Bachelor's in Software Engineering,AWS; GCP; Terraform; Python,Infrastructure,Fast Learner; Analytical Thinking; Problem Solving,Cloud Engineer,Cloud Architect
IT1055,Bachelor's in Information Technology,Raspberry Pi; Arduino; C++; Node.js,Hardware; Automation,Problem Solving; Attention to Detail,IoT Developer,Robotics Engineer
IT1056,Bachelor's in Information Technology,Terraform; GCP; Docker; Jenkins; Bash,Open Source,Teamwork; Analytical Thinking,Cloud Engineer,Cloud Architect
IT1057,Associate Degree in IT,Unity; C++; C#; 3D Modeling; OpenCV; Python,AR/VR,Creativity; Attention to Detail,AR/VR Developer,Computer Vision Engineer
IT1058,Master's in Computer Science,Python; Spark; Hadoop; Kafka; AWS,Architecture,Analytical Thinking; Persistence,Data Engineer,Data Scientist
IT1059,Bachelor's in Computer Science,CSS; JavaScript; TypeScript; Vue.js,Web Design; User Experience,Adaptability; Problem Solving,Frontend Developer,Full Stack Developer
IT1060,Bachelor's in Electronics,Assembly; Arduino; RTOS; C++; MATLAB,Robotics,Attention to Detail; Problem Solving; Persistence,Embedded Systems Engineer,IoT Developer
IT1061,Master's in Computer Science,C++; ROS; Python; Assembly,AI; Robotics,Problem Solving; Persistence,Robotics Engineer,Computer Vision Engineer
IT1062,Bachelor's in Software Engineering,Java; Manual Testing; Jira; Postman; TestNG,Automation,Analytical Thinking; Logical Thinking,QA Engineer,Software Developer
IT1063,Master's in Cybersecurity,Python; Metasploit; Nmap; OWASP; Wireshark; TCP/IP,Networking; Security,Problem Solving; Logical Thinking,Penetration Tester,Network Engineer
IT1064,Master's in Artificial Intelligence,NLP; LLM; Python; TensorFlow; NumPy,AI,Fast Learner; Problem Solving; Analytical Thinking,AI Engineer,NLP Engineer
IT1065,Associate Degree in IT,HTML; React; Git; Adobe XD; REST API,Design,Creativity; Attention to Detail,Frontend Developer,Full Stack Developer
IT1066,Bachelor's in Computer Science,Kotlin; Swift; SQL; Xcode; Android SDK,Coding; Mobile Apps,Teamwork; Adaptability,Mobile App Developer,Full Stack Developer
IT1067,Bachelor's in Information Technology,Linux; CI/CD; Terraform; Python; Bash,Open Source,Problem Solving; Teamwork,DevOps Engineer,Full Stack Developer
IT1068,Master's in Computer Science,TCP/IP; VPN; Routing; Linux; Firewalls; Bash,Security; Networking,Logical Thinking; Analytical Thinking,Network Engineer,Cloud Engineer
IT1069,Bachelor's in Computer Science,Figma; Sketch; Adobe XD; CSS; JavaScript; Adobe Illustrator,Design; UI,Communication; Attention to Detail,UI/UX Designer,Product Manager
IT1070,Bachelor's in Computer Science,R; NumPy; Power BI; MATLAB,Research; Big Data,Logical Thinking; Problem Solving; Persistence,Data Scientist,Machine Learning Engineer
IT1071,Master's in Data Science,NLP; LLM; PyTorch; TensorFlow; Scikit-learn,Open Source; AI,Fast Learner; Logical Thinking; Creativity,AI Engineer,NLP Engineer
IT1072,Associate Degree in IT,C++; Unity; JavaScript,Design; Graphics,Logical Thinking; Attention to Detail; Creativity,AR/VR Developer,Computer Vision Engineer
IT1073,Bachelor's in Computer Science,C++; Unreal Engine; Unity; 3D Modeling; Python; JavaScript; MATLAB,Design,Logical Thinking; Creativity,AR/VR Developer,Computer Vision Engineer
IT1074,Associate Degree in IT,AWS; Azure; Bash; Kubernetes,Open Source; Infrastructure,Problem Solving; Analytical Thinking; Fast Learner,Cloud Engineer,Cloud Architect
IT1075,Bachelor's in Information Systems,MongoDB; MySQL; Python; AWS; Azure,Architecture; Databases,Attention to Detail; Persistence; Problem Solving,Database Administrator,Data Engineer
IT1076,Master's in Computer Science,JavaScript; Solidity; Ethereum; Node.js,Open Source,Logical Thinking; Persistence,Blockchain Developer,Senior Blockchain Developer
IT1077,Bachelor's in Computer Science,JavaScript; SQL; TypeScript,Databases; Web,Fast Learner; Adaptability; Logical Thinking,Full Stack Developer,Software Developer
IT1078,Bachelor's in Computer Science,JavaScript; TypeScript; HTML; CSS; Git; Figma,Web Design,Logical Thinking; Creativity,Frontend Developer,Full Stack Developer
IT1079,Master's in Computer Science,TCP/IP; Cisco; Python,Networking; Security,Analytical Thinking; Problem Solving,Network Engineer,Cloud Engineer
IT1080,Bachelor's in Computer Science,Flutter; Kotlin; React Native; REST API; SQL; Git,User Experience; Coding,Problem Solving; Fast Learner,Mobile App Developer,Full Stack Developer
IT1081,Bachelor's in Electronics,Scikit-learn; NumPy; Python; PyTorch; SQL; R; LLM,Innovation; AI,Persistence; Problem Solving,Machine Learning Engineer,AI Engineer
IT1082,Bachelor's in Information Technology,SQL; Java; Selenium; Manual Testing; Agile; Git,Quality; Testing,Analytical Thinking; Persistence; Attention to Detail,QA Engineer,Software Developer
IT1083,Bachelor's in Information Systems,Power BI; Python; NumPy,AI,Logical Thinking; Communication,Data Analyst,Data Scientist
IT1084,Bachelor's in Computer Engineering,Python; Raspberry Pi; MQTT; Linux,Electronics,Attention to Detail; Analytical Thinking,IoT Developer,Robotics Engineer
IT1085,Master's in Cybersecurity,Wireshark; Nmap; Firewalls; Linux; Bash; VPN; TCP/IP,Networking; Infrastructure,Analytical Thinking; Logical Thinking,Cybersecurity Analyst,Penetration Tester
IT1086,Master's in Computer Science,Python; Ethereum; Solidity; JavaScript; SQL,Blockchain,Analytical Thinking; Problem Solving; Logical Thinking,Blockchain Developer,Senior Blockchain Developer
IT1087,Bachelor's in Computer Science,REST API; Python; Node.js; Algorithms; OOP,Coding,Problem Solving; Analytical Thinking,Backend Developer,Database Administrator
IT1088,Bachelor's in Computer Science,Adobe XD; Sketch; HTML; Figma; InVision,UI; Web Design,Creativity; Problem Solving; Communication,UI/UX Designer,Product Manager
IT1089,Master's in Cybersecurity,Python; OWASP; Nmap; TCP/IP; Linux; Bash,Hacking,Persistence; Creativity; Logical Thinking,Penetration Tester,Network Engineer
IT1090,Associate Degree in IT,Manual Testing; Java; Selenium; Agile; Jira,Testing,Attention to Detail; Analytical Thinking,QA Engineer,Software Developer
IT1091,Associate Degree in IT,XML; Android SDK; Java; Kotlin; Git; Python; React Native,Coding,Creativity; Logical Thinking; Problem Solving,Android Developer,Mobile App Developer
IT1092,Master's in Artificial Intelligence,LLM; NLP; PyTorch; TensorFlow; MATLAB,AI; Research,Problem Solving; Logical Thinking,AI Engineer,NLP Engineer
IT1093,Master's in Computer Science,PyTorch; TensorFlow; OpenCV; NumPy; C++; Pandas; Scikit-learn,Graphics,Problem Solving; Analytical Thinking; Attention to Detail,Computer Vision Engineer,AI Specialist (Level 5)
IT1094,Bachelor's in Software Engineering,Kotlin; Java; React Native; SQL; Python,Android,Creativity; Logical Thinking,Android Developer,Mobile App Developer
IT1095,Bachelor's in Information Systems,Figma; HTML; Sketch; Prototyping; Adobe Illustrator; InVision,User Experience; Web Design,Communication; Problem Solving; Creativity,UI/UX Designer,Product Manager
IT1096,Bachelor's in Computer Science,C++; OOP; Unity; OpenCV; JavaScript,AR/VR; Graphics,Problem Solving; Creativity; Logical Thinking,Game Developer,AR/VR Developer
IT1097,Bachelor's in Computer Science,Kotlin; React Native; Dart; Flutter; Android SDK; Firebase; REST API,User Experience; Coding,Teamwork; Fast Learner,Mobile App Developer,Full Stack Developer
IT1098,Bachelor's in Information Technology,Kotlin; XML; Python; REST API; SQL,Coding,Logical Thinking; Persistence; Creativity,Android Developer,Mobile App Developer
IT1099,Master's in Computer Science,LLM; TensorFlow; PyTorch; Hugging Face,AI; Innovation,Problem Solving; Fast Learner,AI Engineer,NLP Engineer
IT1100,Bachelor's in Computer Science,Tableau; Python; Power BI; R; Pandas; Scikit-learn,Big Data,Logical Thinking; Problem Solving; Communication,Data Analyst,Data Scientist
IT1101,Master's in Computer Science,Kafka; Spark; SQL; PostgreSQL; Docker,Big Data; Architecture,Problem Solving; Persistence,Data Engineer,Data Scientist
IT1102,Associate Degree in IT,MySQL; PostgreSQL; MongoDB; SQL; Python; Excel; AWS,Databases; Infrastructure,Attention to Detail; Analytical Thinking,Database Administrator,Data Engineer
IT1103,Bachelor's in Electronics,MATLAB; Arduino; Python; Raspberry Pi,Robotics; Electronics,Persistence; Creativity,Robotics Engineer,Computer Vision Engineer
IT1104,Bachelor's in Computer Science,Android SDK; Kotlin; Java; React Native; Python; Git,Mobile Apps,Creativity; Teamwork; Problem Solving,Android Developer,Mobile App Developer
IT1105,Bachelor's in Computer Science,Unreal Engine; C#; 3D Modeling; C++; OpenCV; MATLAB; JavaScript,Games,Creativity; Logical Thinking,AR/VR Developer,Computer Vision Engineer
IT1106,Master's in Computer Science,Kubernetes; AWS; GCP; Terraform; Linux; CI/CD; Python,Infrastructure; Innovation,Communication; Logical Thinking,Cloud Architect,DevOps Engineer
IT1107,Master's in Cybersecurity,Firewalls; Linux; TCP/IP; Kali Linux; OWASP,Networking; Security,Problem Solving; Persistence; Attention to Detail,Cybersecurity Analyst,Penetration Tester
IT1108,Bachelor's in Information Technology,Algorithms; C++; OOP; Docker; JavaScript; Linux,Innovation; Web,Logical Thinking; Fast Learner; Problem Solving,Software Developer,Backend Developer
IT1109,Master's in Cybersecurity,Firewalls; Python; Nmap; Linux; Bash,Networking,Logical Thinking; Attention to Detail; Problem Solving,Cybersecurity Analyst,Penetration Tester
IT1110,Bachelor's in Computer Science,Firewalls; Python; OWASP; TCP/IP,Networking; Infrastructure,Persistence; Attention to Detail; Problem Solving,Cybersecurity Analyst,Penetration Tester
IT1111,Master's in Computer Science,GCP; Docker; AWS; CI/CD,Cloud,Fast Learner; Adaptability,Cloud Engineer,Cloud Architect
IT1112,Bachelor's in Information Technology,Java; Python; Postman,Quality; Automation,Logical Thinking; Problem Solving,QA Engineer,Software Developer
IT1113,Bachelor's in Computer Science,Python; Solidity; Ethereum; JavaScript; Node.js; Web3.js,Blockchain; Innovation,Problem Solving; Creativity,Blockchain Developer,Senior Blockchain Developer
IT1114,Master's in Software Engineering,Kubernetes; Linux; Jenkins; Docker; AWS; Azure; Terraform,Cloud,Teamwork; Logical Thinking; Fast Learner,DevOps Engineer,Full Stack Developer
IT1115,Master's in Artificial Intelligence,NLP; TensorFlow; Hugging Face; PyTorch; NLTK; LLM; R,AI,Problem Solving; Persistence,NLP Engineer,Computer Vision Engineer
IT1116,Bachelor's in Information Systems,MongoDB; MySQL; Oracle; SQL; Bash; Linux,Databases,Analytical Thinking; Attention to Detail; Logical Thinking,Database Administrator,Data Engineer
IT1117,Bachelor's in Computer Science,MongoDB; MySQL; PostgreSQL; Bash; Linux,Data,Persistence; Analytical Thinking,Database Administrator,Data Engineer
IT1118,Bachelor's in Computer Engineering,C#; Unity; MATLAB; Python; OOP,Innovation; Design,Attention to Detail; Problem Solving,AR/VR Developer,Computer Vision Engineer
IT1119,Bachelor's in Information Technology,RTOS; C; C++; Assembly; Linux; MATLAB; MQTT,IoT,Analytical Thinking; Logical Thinking,Embedded Systems Engineer,IoT Developer
IT1120,Bachelor's in Computer Engineering,Python; Nmap; Wireshark; Kali Linux; VPN; TCP/IP,Hacking; Infrastructure,Persistence; Attention to Detail; Logical Thinking,Cybersecurity Analyst,Penetration Tester
IT1121,Bachelor's in Information Technology,AWS; GCP; Terraform; Azure; Kubernetes,Open Source,Fast Learner; Analytical Thinking,Cloud Engineer,Cloud Architect
IT1122,Bachelor's in Information Technology,SwiftUI; Swift; Objective-C; Xcode; SQL,User Experience,Problem Solving; Attention to Detail,iOS Developer,Mobile App Developer
IT1123,Bachelor's in Computer Science,C++; C#; OpenCV; MATLAB,Innovation,Fast Learner; Attention to Detail,AR/VR Developer,Computer Vision Engineer
IT1124,Bachelor's in Computer Science,Linux; Jenkins; Kubernetes; Terraform,Automation; Open Source,Teamwork; Logical Thinking,DevOps Engineer,Full Stack Developer
IT1125,Bachelor's in Computer Science,CSS; Adobe XD; Figma; Sketch; Adobe Illustrator; Prototyping; InVision,UI,Attention to Detail; Problem Solving; Communication,UI/UX Designer,Product Manager
IT1126,Bachelor's in Software Engineering,Docker; CI/CD; Jenkins; Python; Azure,Infrastructure,Logical Thinking; Problem Solving,DevOps Engineer,Full Stack Developer
IT1127,Bachelor's in Computer Science,HTML; CSS; Canva,Design; UI,Problem Solving; Communication; Creativity,UI/UX Designer,Product Manager
IT1128,Master's in Software Engineering,SQL; HTML; Git; Docker; PostgreSQL,Open Source,Fast Learner; Adaptability; Problem Solving,Full Stack Developer,Software Developer
IT1129,Bachelor's in Information Technology,Python; Arduino; Raspberry Pi; C++; Linux,Electronics; Hardware,Problem Solving; Logical Thinking; Creativity,IoT Developer,Robotics Engineer
IT1130,Bachelor's in Software Engineering,Python; Manual Testing; SQL; Jira,Automation; Open Source,Logical Thinking; Problem Solving,QA Engineer,Software Developer
IT1131,Bachelor's in Information Technology,C; Python; Arduino; MQTT; C++,IoT,Attention to Detail; Logical Thinking; Analytical Thinking,IoT Developer,Robotics Engineer
IT1132,Master's in Computer Science,Scikit-learn; NumPy; R; Tableau,Research,Persistence; Problem Solving,Data Scientist,Machine Learning Engineer
IT1133,Associate Degree in IT,Wireshark; Firewalls; Python; Linux; OWASP; TCP/IP; VPN,Security; Hacking,Analytical Thinking; Attention to Detail,Cybersecurity Analyst,Penetration Tester
IT1134,Master's in Cybersecurity,Metasploit; Nmap; OWASP; TCP/IP; Bash; Wireshark,Innovation,Creativity; Problem Solving; Persistence,Penetration Tester,Network Engineer
IT1135,Master's in Software Engineering,Scrum; Jira; Agile; Figma; Power BI; Adobe XD,Design; Innovation,Adaptability; Leadership,Product Manager,Cloud Architect
IT1136,Master's in Computer Science,Python; C++; ROS; MATLAB; RTOS,Robotics,Creativity; Problem Solving; Persistence,Robotics Engineer,Computer Vision Engineer
IT1137,Master's in Artificial Intelligence,Hugging Face; PyTorch; Python; TensorFlow; NLTK; Scikit-learn; LLM,AI,Logical Thinking; Persistence; Problem Solving,NLP Engineer,Computer Vision Engineer
IT1138,Master's in Software Engineering,GCP; Terraform; Azure; Networking,Innovation; Infrastructure,Logical Thinking; Leadership,Cloud Architect,DevOps Engineer
IT1139,Bachelor's in Computer Science,C++; Unreal Engine; 3D Modeling; Python; OOP,AR/VR,Creativity; Fast Learner; Problem Solving,AR/VR Developer,Computer Vision Engineer
IT1140,Associate Degree in IT,Cisco; TCP/IP; Wireshark; Python,Infrastructure; Networking,Attention to Detail; Communication; Analytical Thinking,Network Engineer,Cloud Engineer
IT1141,Master's in Cybersecurity,Python; Metasploit; Wireshark; Bash; TCP/IP,Hacking,Analytical Thinking; Logical Thinking; Persistence,Penetration Tester,Network Engineer
IT1142,Bachelor's in Information Technology,Xcode; Objective-C; Swift; SwiftUI; SQL,Design,Fast Learner; Creativity; Problem Solving,iOS Developer,Mobile App Developer
IT1143,Master's in Cybersecurity,Python; OWASP; Nmap; Metasploit; Wireshark; Firewalls,Innovation; Networking,Creativity; Analytical Thinking,Penetration Tester,Network Engineer
IT1144,Bachelor's in Computer Science,Python; OOP; Linux; SQL; JavaScript,Coding; Innovation,Logical Thinking; Problem Solving; Adaptability,Software Developer,Backend Developer
IT1145,Master's in Data Science,TensorFlow; Scikit-learn; Python; SQL; R; Spark,AI,Analytical Thinking; Logical Thinking,Machine Learning Engineer,AI Engineer
IT1146,Bachelor's in Computer Science,Unreal Engine; Unity; C++; 3D Modeling,Graphics,Logical Thinking; Persistence; Creativity,Game Developer,AR/VR Developer
IT1147,Master's in Artificial Intelligence,Python; Hugging Face; NumPy,Innovation,Persistence; Creativity; Logical Thinking,NLP Engineer,Computer Vision Engineer
IT1148,Bachelor's in Computer Engineering,Unity; Unreal Engine; MATLAB,AR/VR; Games,Attention to Detail; Creativity,Game Developer,AR/VR Developer
IT1149,Master's in Software Engineering,React; JavaScript; CSS; Git; Vue.js,UI; User Experience,Attention to Detail; Creativity,Frontend Developer,Full Stack Developer
IT1150,Master's in Cybersecurity,Nmap; Firewalls; Wireshark; Linux; VPN,Hacking,Attention to Detail; Analytical Thinking,Cybersecurity Analyst,Penetration Tester
IT1151,Bachelor's in Information Technology,Python; Metasploit; Nmap; Kali Linux; Bash; Wireshark; Firewalls,Security,Logical Thinking; Persistence,Penetration Tester,Network Engineer
IT1152,Bachelor's in Information Technology,CSS; Sketch; Figma; Prototyping,UI; Web Design,Communication; Adaptability; Creativity,UI/UX Designer,Product Manager
IT1153,Bachelor's in Computer Science,Objective-C; SwiftUI; React Native,Apple; Mobile Apps,Attention to Detail; Creativity; Fast Learner,iOS Developer,Mobile App Developer
IT1154,Master's in Data Science,R; SQL; Power BI,Big Data,Attention to Detail; Problem Solving; Logical Thinking,Data Scientist,Machine Learning Engineer
IT1155,Master's in Artificial Intelligence,PyTorch; LLM; TensorFlow; Hugging Face; Pandas,Innovation,Problem Solving; Creativity,AI Engineer,NLP Engineer
IT1156,Bachelor's in Computer Engineering,Unreal Engine; Unity; C++; C#; OpenCV; MATLAB; Python,Games; Coding,Problem Solving; Persistence; Attention to Detail,Game Developer,AR/VR Developer
IT1157,Bachelor's in Computer Engineering,OOP; C++; Unreal Engine; C#; Python,Graphics; Coding,Problem Solving; Persistence; Creativity,Game Developer,AR/VR Developer
IT1158,Bachelor's in Information Technology,Cisco; TCP/IP; DNS; Routing; Wireshark; Firewalls; Linux,Networking,Attention to Detail; Analytical Thinking,Network Engineer,Cloud Engineer
IT1159,Bachelor's in Computer Science,NLP; PyTorch; NumPy,AI; Innovation,Problem Solving; Fast Learner,AI Engineer,NLP Engineer
IT1160,Bachelor's in Information Technology,Oracle; SQL; PostgreSQL; Python,Infrastructure; Databases,Analytical Thinking; Logical Thinking; Problem Solving,Database Administrator,Data Engineer
IT1161,Bachelor's in Computer Engineering,Raspberry Pi; Arduino; Python; Assembly; Node.js,Electronics; Automation,Attention to Detail; Analytical Thinking; Creativity,IoT Developer,Robotics Engineer
IT1162,Master's in Software Engineering,Terraform; Azure; Kubernetes; AWS; Python,Cloud; Innovation,Communication; Logical Thinking,Cloud Architect,DevOps Engineer
IT1163,Bachelor's in Information Technology,Docker; Terraform; AWS; Azure; Jenkins; Linux,Open Source,Problem Solving; Adaptability,Cloud Engineer,Cloud Architect
IT1164,Bachelor's in Computer Science,Python; PyTorch; MATLAB; NumPy; R,Open Source; Innovation,Logical Thinking; Fast Learner,AI Engineer,NLP Engineer
IT1165,Master's in Artificial Intelligence,Python; TensorFlow; Hugging Face; Scikit-learn; LLM; Pandas,Research,Logical Thinking; Problem Solving; Creativity,NLP Engineer,Computer Vision Engineer
IT1166,Bachelor's in Computer Science,Docker; GCP; AWS; Bash; Linux,Infrastructure; Cloud,Teamwork; Analytical Thinking; Adaptability,Cloud Engineer,Cloud Architect
IT1167,Bachelor's in Information Systems,Python; Excel; R; NumPy; PostgreSQL,Big Data; AI,Communication; Logical Thinking,Data Analyst,Data Scientist
IT1168,Bachelor's in Computer Engineering,MQTT; Raspberry Pi; Python; Arduino; Assembly,Automation; Electronics,Creativity; Problem Solving; Attention to Detail,IoT Developer,Robotics Engineer
IT1169,Bachelor's in Information Systems,MySQL; Oracle; Python; AWS,Databases,Attention to Detail; Problem Solving,Database Administrator,Data Engineer
